"autor_sobrenome","autor_nome","revista","titulo","ano","resumo","chave","ref_sobrenome","ref_nome","ref_ano","ref_revista","ref_titulo"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","FILGUEIRAS|Avritzer|Filgueiras","Fernando|Leonardo|Fernando","2011","Corrupção e sistema político no Brasil","Transparência e controle da corrupção no Brasil"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","HARDIN|Warren","Russell|Mark","1999","Democracy and trust","Do we want trust in government?"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","HIRSCHL","Ran","2007","Towards juristocracy: The origins and consequences of the new constitutionalism","NA"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","INGLEHART|WELZEL","Ronald|Christian","2005","Modernization, Cultural Change, and Democracy: the human development sequence","NA"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","KLINGEMANN|FUCHS","Hans-Dieter|Dieter","1995","Citizens and the state","NA"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","LEVI|Braithwaite|Levi","Margaret|Valerie|Margaret","1998","Trust and Governance","A state of trust"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","LUHMANN","Niklas","1996","Confianza","NA"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","MENEGUELLO","Rachel","2007","Lanic Etext Collection","Grounds of democratic adherence: Brazil 2002-2006"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","MOISÉS|CARNEIRO","José Álvaro|Gabriela P.","2008","Opinião Pública","Democracia, desconfiança política e insatisfação com o regime: o caso do Brasil"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","NEWTON|Norris","Kenneth|Pippa","1999","Critical citizens: Global support for democratic government","The Impact of Social Trust on Political Support"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","NORRIS","Pippa","1999","Critical citizens: Global support for democratic government","NA"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","NORRIS","Pippa","2011","Democratic deficit: Critical citizens revisited","NA"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","OFFE|Warren","Claus|Mark","1999","Democracy and trust","How can we trust our fellow citizens?"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","PHARR|PUTNAM","Susan J.|Robert D.","2000","Disaffected Democracies: What´s Troubling the Trilateral Countries?","NA"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","PUTNAM","Robert","1993","Making Democracy Work: Civic Traditions in Modern Italy","NA"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","RIBEIRO","Ednaldo A.","2011","Valores pós-materialistas e cultura política no Brasil","NA"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","ROSANVALLON","Pierre","2006","La contre-démocratie: la politique à l'âge de la défiance","NA"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","SIMMEL","Georg","1977","Sociologia: Estudios sobre las formas de socialización","El secreto y la sociedad secreta"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","TATE|Tate|Vallinder","Neal|Neal|Tornjorrn","1997","The global expansion of judicial power","Why the expansion of judicial power?"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","VALA|MARINHO|Cabral|Vala|Freire","Jorge|Cristina|Manuel Villaverde|Jorge|André","2003","Desigualdades sociais e percepções de justiça","Percepções de justiça social, confiança e avaliação do sistema político"
"Filgueiras","Fernando","Brazilian Political Science Review","Perceptions on justice, the judiciary and democracy","2013","The reliance on courts for addressing public policy questions and political controversies is a central phenomenon in contemporary democracies. The judicialization of politics is the result of a shift in core issues regarding democratic legitimacy, both in the sphere of institution building as well as political culture. Social justice arose as a central variable in the legitimacy of democracies, becoming vital in establishing support towards democratic political systems. This article explores the relation between perceptions on justice, judicialization of politics and how the agency of judicial institutions impacts dissatisfaction with democracy. Based on a survey carried out in the metropolitan regions of Belo Horizonte, Goiânia, Porto Alegre and Recife, it is argued that the discontent towards political institutions in Brazil does not justify the ongoing judicialization process since the perceptions on inequalities place the Judiciary within the citizens' critical stance towards institutions. Just like other representative institutions, the Judiciary has not been able to mitigate the perceptions on inequalities and the ineffectiveness of the empire of law, being therefore unable to provide a satisfactory performance in regards to the normative ends of contemporary notions of democratic legitimacy and citizenship.","Perception of justice,distrust,judicialization,democracy","WERNECK VIANNA|BURGOS|SALLES","Luiz|Marcelo B.|Paula M.","2007","Tempo Social","Dezessete anos de judicialização da política"
"Madeira","Lígia Mori","Brazilian Political Science Review","Institutionalisation, Reform and Independence of the Public Defender&#8217;s Office in Brazil","2014","The aim of this article is to investigate the institutionalisation of the state Public Defender's Offices before and after the reform that granted independence and new functions to the Public Defender's Offices in Brazil. We attempt to understand these processes based on theories of judicial empowerment (ideational and governance perspectives), analyse them in the Brazilian states by means of an analysis of two indicators in three different time periods (before, during and after the reform) and verify to what extent the formal (de jure) advances were involved in the exercise of autonomy in the states. The analysis reveals that in spite of the formal achievement of independence, the majority of state Public Defender's Offices are not actually independent and there is a great gap between what the laws stipulate and what actually happens in the public provision of access to justice in Brazil.","Public defender's office,institutionalisation,independence,judicial strengthening,access to justice","AGUIAR|KAPISZEWSKI|INGRAM","Azul|Diana|Matthew",,"Beyond High Courts","Reforms to the Public Prosecutor's Office in Brazil, Mexico, and Chile"
"Madeira","Lígia Mori","Brazilian Political Science Review","Institutionalisation, Reform and Independence of the Public Defender&#8217;s Office in Brazil","2014","The aim of this article is to investigate the institutionalisation of the state Public Defender's Offices before and after the reform that granted independence and new functions to the Public Defender's Offices in Brazil. We attempt to understand these processes based on theories of judicial empowerment (ideational and governance perspectives), analyse them in the Brazilian states by means of an analysis of two indicators in three different time periods (before, during and after the reform) and verify to what extent the formal (de jure) advances were involved in the exercise of autonomy in the states. The analysis reveals that in spite of the formal achievement of independence, the majority of state Public Defender's Offices are not actually independent and there is a great gap between what the laws stipulate and what actually happens in the public provision of access to justice in Brazil.","Public defender's office,institutionalisation,independence,judicial strengthening,access to justice",,,,"Plan estratégico para la implementación 100 reglas de Brasilia sobre acceso a la justicia de las personas en condición de vulnerabilidad","NA"
"Madeira","Lígia Mori","Brazilian Political Science Review","Institutionalisation, Reform and Independence of the Public Defender&#8217;s Office in Brazil","2014","The aim of this article is to investigate the institutionalisation of the state Public Defender's Offices before and after the reform that granted independence and new functions to the Public Defender's Offices in Brazil. We attempt to understand these processes based on theories of judicial empowerment (ideational and governance perspectives), analyse them in the Brazilian states by means of an analysis of two indicators in three different time periods (before, during and after the reform) and verify to what extent the formal (de jure) advances were involved in the exercise of autonomy in the states. The analysis reveals that in spite of the formal achievement of independence, the majority of state Public Defender's Offices are not actually independent and there is a great gap between what the laws stipulate and what actually happens in the public provision of access to justice in Brazil.","Public defender's office,institutionalisation,independence,judicial strengthening,access to justice","ALBERTI","Verena",,"Relatório das atividades desenvolvidas no âmbito do subprojeto Democratização da Justiça: a Defensoria Pública","NA"
"Madeira","Lígia Mori","Brazilian Political Science Review","Institutionalisation, Reform and Independence of the Public Defender&#8217;s Office in Brazil","2014","The aim of this article is to investigate the institutionalisation of the state Public Defender's Offices before and after the reform that granted independence and new functions to the Public Defender's Offices in Brazil. We attempt to understand these processes based on theories of judicial empowerment (ideational and governance perspectives), analyse them in the Brazilian states by means of an analysis of two indicators in three different time periods (before, during and after the reform) and verify to what extent the formal (de jure) advances were involved in the exercise of autonomy in the states. The analysis reveals that in spite of the formal achievement of independence, the majority of state Public Defender's Offices are not actually independent and there is a great gap between what the laws stipulate and what actually happens in the public provision of access to justice in Brazil.","Public defender's office,institutionalisation,independence,judicial strengthening,access to justice","ALMEIDA","Frederico N. R.",,"). A nobreza togada: as elites jurídicas e a política da Justiça no Brasil","NA"
"Madeira","Lígia Mori","Brazilian Political Science Review","Institutionalisation, Reform and Independence of the Public Defender&#8217;s Office in Brazil","2014","The aim of this article is to investigate the institutionalisation of the state Public Defender's Offices before and after the reform that granted independence and new functions to the Public Defender's Offices in Brazil. We attempt to understand these processes based on theories of judicial empowerment (ideational and governance perspectives), analyse them in the Brazilian states by means of an analysis of two indicators in three different time periods (before, during and after the reform) and verify to what extent the formal (de jure) advances were involved in the exercise of autonomy in the states. The analysis reveals that in spite of the formal achievement of independence, the majority of state Public Defender's Offices are not actually independent and there is a great gap between what the laws stipulate and what actually happens in the public provision of access to justice in Brazil.","Public defender's office,institutionalisation,independence,judicial strengthening,access to justice","ALMEIDA","Maria Herminia Tavares",,"Revista de Sociologia e Política","Recentrando a federação?"
"Madeira","Lígia Mori","Brazilian Political Science Review","Institutionalisation, Reform and Independence of the Public Defender&#8217;s Office in Brazil","2014","The aim of this article is to investigate the institutionalisation of the state Public Defender's Offices before and after the reform that granted independence and new functions to the Public Defender's Offices in Brazil. We attempt to understand these processes based on theories of judicial empowerment (ideational and governance perspectives), analyse them in the Brazilian states by means of an analysis of two indicators in three different time periods (before, during and after the reform) and verify to what extent the formal (de jure) advances were involved in the exercise of autonomy in the states. The analysis reveals that in spite of the formal achievement of independence, the majority of state Public Defender's Offices are not actually independent and there is a great gap between what the laws stipulate and what actually happens in the public provision of access to justice in Brazil.","Public defender's office,institutionalisation,independence,judicial strengthening,access to justice","ALVES","Cleber Francisco",,"A estruturação dos Serviços de Assistência Jurídica nos Estados Unidos, na França e no Brasil e sua eficácia para garantir a igualdade de todos no acesso à justiça","NA"
"Madeira","Lígia Mori","Brazilian Political Science Review","Institutionalisation, Reform and Independence of the Public Defender&#8217;s Office in Brazil","2014","The aim of this article is to investigate the institutionalisation of the state Public Defender's Offices before and after the reform that granted independence and new functions to the Public Defender's Offices in Brazil. We attempt to understand these processes based on theories of judicial empowerment (ideational and governance perspectives), analyse them in the Brazilian states by means of an analysis of two indicators in three different time periods (before, during and after the reform) and verify to what extent the formal (de jure) advances were involved in the exercise of autonomy in the states. The analysis reveals that in spite of the formal achievement of independence, the majority of state Public Defender's Offices are not actually independent and there is a great gap between what the laws stipulate and what actually happens in the public provision of access to justice in Brazil.","Public defender's office,institutionalisation,independence,judicial strengthening,access to justice","ARANTES","Rogério",,"Revista Brasileira de Ciências Sociais","Direito e política: o Ministério Público e a defesa dos direitos coletivos"
